OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.9,2,560000,5,540,41,93,1,23.5,0,0.87
0.9,2,560000,5,540,41,93,1,38,4,0.86
0.9,2,560000,5,540,41,93,1,46.5,2,0.84
0.9,2,560000,5,540,41,93,1,3.5,1,0.93
0.9,2,560000,5,540,41,93,1,40,2,0.84
0.9,2,560000,5,540,41,93,1,38,0,0.85
0.9,2,560000,5,540,41,93,1,2.5,0,0.92
0.9,2,560000,5,540,41,93,1,69.5,1,0.83
0.9,2,560000,5,540,41,93,1,7,0,0.9
0.9,2,560000,5,540,41,93,1,4.5,2,0.94
0.9,2,560000,5,540,41,93,1,3,4,0.93
0.9,2,560000,5,540,41,93,1,39.5,1,0.84
0.9,2,560000,5,540,41,93,1,1,2,0.95
0.9,2,560000,5,540,41,93,1,33,1,0.86
0.9,2,560000,5,540,41,93,1,45.5,1,0.84
0.9,2,560000,5,540,41,93,1,42,1,0.84
0.9,2,560000,5,540,41,93,1,66,3,0.82
0.9,2,560000,5,540,41,93,1,35.5,5,0.85
0.9,2,560000,5,540,41,93,1,20,2,0.87
0.9,2,560000,5,540,41,93,1,32,0,0.87
0.9,2,560000,5,540,41,93,1,58,6,0.83
0.9,2,560000,5,540,41,93,1,9.5,4,0.92
0.9,2,560000,5,540,41,93,1,16.5,0,0.89
0.9,2,560000,5,540,41,93,1,9,3,0.91
0.9,2,560000,5,540,41,93,1,25,2,0.87
0.9,2,560000,5,540,41,93,1,3,3,0.93
0.9,2,560000,5,540,41,93,1,4.5,1,0.93
0.9,2,560000,5,540,41,93,1,2,0,0.94
0.9,2,560000,5,540,41,93,1,1.5,1,0.95
0.9,2,560000,5,540,41,93,1,3,3,0.94
0.9,2,560000,5,540,41,93,1,40.5,3,0.85
0.9,2,560000,5,540,41,93,1,5.5,1,0.93
0.9,2,560000,5,540,41,93,1,11,1,0.89
0.9,2,560000,5,540,41,93,1,1,5,0.93
0.9,2,560000,5,540,41,93,1,16.5,2,0.88
0.9,2,560000,5,540,41,93,1,15,3,0.9
0.9,2,560000,5,540,41,93,1,10,0,0.91
0.9,2,560000,5,540,41,93,1,16.5,1,0.89
0.9,2,560000,5,540,41,93,1,55.5,3,0.83
0.9,2,560000,5,540,41,93,1,10,1,0.9
0.9,2,560000,5,540,41,93,1,0.5,0,0.99
0.9,2,560000,5,540,41,93,1,4,2,0.93
0.9,2,560000,5,540,41,93,1,2,0,0.94
0.9,2,560000,5,540,41,93,1,54,2,0.84
0.9,2,560000,5,540,41,93,1,5,3,0.92
0.9,2,560000,5,540,41,93,1,2,0,0.94
0.9,2,560000,5,540,41,93,1,51.5,4,0.85
0.9,2,560000,5,540,41,93,1,45.5,0,0.84
0.9,2,560000,5,540,41,93,1,4,1,0.94
0.9,2,560000,5,540,41,93,1,47,5,0.84
0.9,2,560000,5,540,41,93,1,1,1,0.96
0.9,2,560000,5,540,41,93,1,25,1,0.88
0.9,2,560000,5,540,41,93,1,38,2,0.85
0.9,2,560000,5,540,41,93,1,36.5,1,0.88
0.9,2,560000,5,540,41,93,1,70.5,4,0.82
0.9,2,560000,5,540,41,93,1,0.5,2,1.01
0.9,2,560000,5,540,41,93,1,30,2,0.88
0.9,2,560000,5,540,41,93,1,4.5,1,0.92
0.9,2,560000,5,540,41,93,1,42.5,1,0.86
0.9,2,560000,5,540,41,93,1,16,3,0.87
0.9,2,560000,5,540,41,93,1,50,1,0.83
0.9,2,560000,5,540,41,93,1,2.5,1,0.93
0.9,2,560000,5,540,41,93,1,0,0,0.98
0.9,2,560000,5,540,41,93,1,31,0,0.86
0.9,2,560000,5,540,41,93,1,0,3,0.98
0.9,2,560000,5,540,41,93,1,7,2,0.91
0.9,2,560000,5,540,41,93,1,3,1,0.92
0.9,2,560000,5,540,41,93,1,58.5,2,0.84
0.9,2,560000,5,540,41,93,1,19,0,0.88
0.9,2,560000,5,540,41,93,1,1,2,0.95
0.9,2,560000,5,540,41,93,1,50.5,1,0.84
0.9,2,560000,5,540,41,93,1,33.5,4,0.86
0.9,2,560000,5,540,41,93,1,2,1,0.94
0.9,2,560000,5,540,41,93,1,0.5,1,0.96
0.9,2,560000,5,540,41,93,1,15.5,3,0.91
