OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.9,1,560000,5,540,41,93,1,6.5,0,0.91
0.9,1,560000,5,540,41,93,1,0.5,0,0.95
0.9,1,560000,5,540,41,93,1,12,0,0.88
0.9,1,560000,5,540,41,93,1,38,0,0.86
0.9,1,560000,5,540,41,93,1,3,0,0.92
0.9,1,560000,5,540,41,93,1,18.5,2,0.88
0.9,1,560000,5,540,41,93,1,2,1,0.93
0.9,1,560000,5,540,41,93,1,0,1,1.01
0.9,1,560000,5,540,41,93,1,13,0,0.88
0.9,1,560000,5,540,41,93,1,37.5,1,0.84
0.9,1,560000,5,540,41,93,1,4,0,0.91
0.9,1,560000,5,540,41,93,1,57.5,1,0.8
0.9,1,560000,5,540,41,93,1,48.5,1,0.84
0.9,1,560000,5,540,41,93,1,3,3,0.95
0.9,1,560000,5,540,41,93,1,4,0,0.95
0.9,1,560000,5,540,41,93,1,18,0,0.89
0.9,1,560000,5,540,41,93,1,4,0,0.9
0.9,1,560000,5,540,41,93,1,15.5,1,0.87
0.9,1,560000,5,540,41,93,1,6.5,1,0.9
0.9,1,560000,5,540,41,93,1,17,0,0.87
0.9,1,560000,5,540,41,93,1,28,1,0.85
0.9,1,560000,5,540,41,93,1,2,1,0.93
0.9,1,560000,5,540,41,93,1,1,0,0.97
0.9,1,560000,5,540,41,93,1,16.5,0,0.87
0.9,1,560000,5,540,41,93,1,0.5,2,0.94
0.9,1,560000,5,540,41,93,1,34.5,0,0.85
0.9,1,560000,5,540,41,93,1,1,1,1.05
0.9,1,560000,5,540,41,93,1,28.5,2,0.85
0.9,1,560000,5,540,41,93,1,0,2,0.99
0.9,1,560000,5,540,41,93,1,4,1,0.89
0.9,1,560000,5,540,41,93,1,10,2,0.89
0.9,1,560000,5,540,41,93,1,14,1,0.87
0.9,1,560000,5,540,41,93,1,2,0,0.93
0.9,1,560000,5,540,41,93,1,12,0,0.88
0.9,1,560000,5,540,41,93,1,10,1,0.9
0.9,1,560000,5,540,41,93,1,0,0,1
0.9,1,560000,5,540,41,93,1,4,0,0.9
0.9,1,560000,5,540,41,93,1,10.5,0,0.9
0.9,1,560000,5,540,41,93,1,13.5,0,0.88
0.9,1,560000,5,540,41,93,1,10,0,0.89
0.9,1,560000,5,540,41,93,1,25,2,0.85
0.9,1,560000,5,540,41,93,1,0.5,0,0.99
0.9,1,560000,5,540,41,93,1,5.5,1,0.91
0.9,1,560000,5,540,41,93,1,0,0,0.99
0.9,1,560000,5,540,41,93,1,4.5,2,0.92
0.9,1,560000,5,540,41,93,1,7.5,1,0.9
0.9,1,560000,5,540,41,93,1,1,1,0.96
0.9,1,560000,5,540,41,93,1,14.5,1,0.87
0.9,1,560000,5,540,41,93,1,9.5,0,0.89
0.9,1,560000,5,540,41,93,1,24,2,0.85
0.9,1,560000,5,540,41,93,1,0,1,0.98
0.9,1,560000,5,540,41,93,1,4.5,1,0.91
0.9,1,560000,5,540,41,93,1,2,1,1.04
0.9,1,560000,5,540,41,93,1,25,1,0.86
0.9,1,560000,5,540,41,93,1,76,0,0.79
0.9,1,560000,5,540,41,93,1,10.5,0,0.88
0.9,1,560000,5,540,41,93,1,3.5,2,0.92
0.9,1,560000,5,540,41,93,1,10,3,0.89
0.9,1,560000,5,540,41,93,1,26.5,0,0.86
0.9,1,560000,5,540,41,93,1,11,1,0.89
0.9,1,560000,5,540,41,93,1,1,0,0.94
0.9,1,560000,5,540,41,93,1,0,0,0.98
0.9,1,560000,5,540,41,93,1,1,1,0.98
0.9,1,560000,5,540,41,93,1,3,0,0.94
0.9,1,560000,5,540,41,93,1,40,0,0.83
0.9,1,560000,5,540,41,93,1,8.5,2,0.9
0.9,1,560000,5,540,41,93,1,10.5,0,0.88
0.9,1,560000,5,540,41,93,1,3,1,0.92
