OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.9,1,560000,5,540,41,93,1,1,0,1.05
0.9,1,560000,5,540,41,93,1,10.5,0,0.89
0.9,1,560000,5,540,41,93,1,4.5,2,0.92
0.9,1,560000,5,540,41,93,1,7,0,0.89
0.9,1,560000,5,540,41,93,1,5.5,0,0.91
0.9,1,560000,5,540,41,93,1,2.5,2,0.94
0.9,1,560000,5,540,41,93,1,40,1,0.82
0.9,1,560000,5,540,41,93,1,20.5,0,0.87
0.9,1,560000,5,540,41,93,1,2.5,1,0.93
0.9,1,560000,5,540,41,93,1,0.5,3,0.93
0.9,1,560000,5,540,41,93,1,39,1,0.84
0.9,1,560000,5,540,41,93,1,1.5,0,0.97
0.9,1,560000,5,540,41,93,1,0,2,0.96
0.9,1,560000,5,540,41,93,1,65,0,0.8
0.9,1,560000,5,540,41,93,1,0,0,0.97
0.9,1,560000,5,540,41,93,1,36,0,0.83
0.9,1,560000,5,540,41,93,1,4,2,0.92
0.9,1,560000,5,540,41,93,1,7,0,0.92
0.9,1,560000,5,540,41,93,1,7,1,0.9
0.9,1,560000,5,540,41,93,1,0.5,1,0.96
0.9,1,560000,5,540,41,93,1,0.5,0,0.97
0.9,1,560000,5,540,41,93,1,1.5,2,0.95
0.9,1,560000,5,540,41,93,1,0.5,0,0.96
0.9,1,560000,5,540,41,93,1,0,0,0.98
0.9,1,560000,5,540,41,93,1,0,2,0.99
0.9,1,560000,5,540,41,93,1,48.5,1,0.84
0.9,1,560000,5,540,41,93,1,3,0,0.94
0.9,1,560000,5,540,41,93,1,7,0,0.92
0.9,1,560000,5,540,41,93,1,0,0,0.97
0.9,1,560000,5,540,41,93,1,40,1,0.82
0.9,1,560000,5,540,41,93,1,2,1,0.93
0.9,1,560000,5,540,41,93,1,2,1,0.93
