OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.8,3,560000,5,540,41,93,1,34,2,0.87
0.8,3,560000,5,540,41,93,1,97.5,2,0.77
0.8,3,560000,5,540,41,93,1,74,2,0.81
0.8,3,560000,5,540,41,93,1,97.5,4,0.75
0.8,3,560000,5,540,41,93,1,96,0,0.78
0.8,3,560000,5,540,41,93,1,95,1,0.77
0.8,3,560000,5,540,41,93,1,85,5,0.81
0.8,3,560000,5,540,41,93,1,94,1,0.78
0.8,3,560000,5,540,41,93,1,96,3,0.77
0.8,3,560000,5,540,41,93,1,74.5,2,0.83
0.8,3,560000,5,540,41,93,1,95,5,0.78
0.8,3,560000,5,540,41,93,1,95,3,0.78
0.8,3,560000,5,540,41,93,1,98,2,0.77
0.8,3,560000,5,540,41,93,1,97,2,0.76
0.8,3,560000,5,540,41,93,1,50,1,0.85
0.8,3,560000,5,540,41,93,1,98,0,0.74
0.8,3,560000,5,540,41,93,1,100,1,0.75
0.8,3,560000,5,540,41,93,1,96.5,2,0.75
0.8,3,560000,5,540,41,93,1,100,2,0.68
0.8,3,560000,5,540,41,93,1,46,3,0.85
0.8,3,560000,5,540,41,93,1,93,2,0.78
0.8,3,560000,5,540,41,93,1,8.5,0,0.92
0.8,3,560000,5,540,41,93,1,75,1,0.82
0.8,3,560000,5,540,41,93,1,94,0,0.78
0.8,3,560000,5,540,41,93,1,62,2,0.84
0.8,3,560000,5,270,21,47,1,90,1,0.8
0.8,3,560000,5,270,21,47,1,99.5,3,0.77
0.8,3,560000,5,270,21,47,1,93.5,2,0.8
0.8,3,560000,5,270,21,47,1,83,4,0.82
0.8,3,560000,5,270,21,47,1,93.5,4,0.78
0.8,3,560000,5,270,21,47,1,100,1,0.75
0.8,3,560000,5,270,21,47,1,99.5,2,0.76
0.8,3,560000,5,270,21,47,1,36,1,0.88
0.8,3,560000,5,270,21,47,1,97.5,7,0.79
0.8,3,560000,5,270,21,47,1,99.5,2,0.77
0.8,3,560000,5,270,21,47,1,71.5,0,0.83
0.8,3,560000,5,270,21,47,1,99.5,1,0.75
0.8,3,560000,5,270,21,47,1,99,5,0.76
0.8,3,560000,5,270,21,47,1,98,7,0.77
0.8,3,560000,5,270,21,47,1,95,1,0.8
0.8,3,560000,5,270,21,47,1,66.5,5,0.85
0.8,3,560000,5,270,21,47,1,92.5,3,0.8
0.8,3,560000,5,270,21,47,1,92.5,3,0.81
0.8,3,560000,5,270,21,47,1,99.5,4,0.75
0.8,3,560000,5,270,21,47,1,68.5,2,0.84
0.8,3,560000,5,270,21,47,1,52,0,0.86
0.8,3,560000,5,270,21,47,1,85,3,0.81
0.8,3,560000,5,540,41,93,1,93,2,0.79
0.8,3,560000,5,540,41,93,1,69,5,0.83
0.8,3,560000,5,540,41,93,1,58.5,4,0.84
0.8,3,560000,5,540,41,93,1,59,0,0.84
0.8,3,560000,5,540,41,93,1,88.5,6,0.79
0.8,3,560000,5,540,41,93,1,86,4,0.79
0.8,3,560000,5,540,41,93,1,67.5,3,0.81
0.8,3,560000,5,540,41,93,1,73,4,0.82
0.8,3,560000,5,540,41,93,1,80,3,0.82
0.8,3,560000,5,540,41,93,1,76,0,0.83
0.8,3,560000,5,540,41,93,1,99,3,0.74
0.8,3,560000,5,540,41,93,1,92.5,1,0.79
0.8,3,560000,5,540,41,93,1,92,1,0.8
0.8,3,560000,5,540,41,93,1,17,2,0.9
0.8,3,560000,5,540,41,93,1,85,3,0.81
0.8,3,560000,5,540,41,93,1,91,2,0.8
0.8,3,560000,5,540,41,93,1,98.5,6,0.75
0.8,3,560000,5,540,41,93,1,90.5,6,0.79
0.8,3,560000,5,540,41,93,1,100,1,0.73
0.8,3,560000,5,540,41,93,1,34,3,0.86
0.8,3,560000,5,540,41,93,1,97.5,2,0.77
0.8,3,560000,5,540,41,93,1,87.5,2,0.8
0.8,3,560000,5,540,41,93,1,70.5,5,0.83
0.8,3,560000,5,540,41,93,1,52.5,3,0.84
0.8,3,560000,5,540,41,93,1,100,3,0.72
0.8,3,560000,5,540,41,93,1,98,1,0.74
0.8,3,560000,5,540,41,93,1,91.5,1,0.79
0.8,3,560000,5,540,41,93,1,96,4,0.77
0.8,3,560000,5,540,41,93,1,42.5,1,0.86
0.8,3,560000,5,540,41,93,1,67.5,0,0.83
0.8,3,560000,5,540,41,93,1,77.5,1,0.83
0.8,3,560000,5,540,41,93,1,97.5,1,0.77
0.8,3,560000,5,540,41,93,1,92,4,0.79
0.8,3,560000,5,540,41,93,1,84.5,1,0.81
0.8,3,560000,5,540,41,93,1,70.5,2,0.82
0.8,3,560000,5,540,41,93,1,70.5,1,0.82
0.8,3,560000,5,540,41,93,1,27,3,0.87
0.8,3,560000,5,540,41,93,1,49,1,0.85
0.8,3,560000,5,540,41,93,1,99,1,0.74
0.8,3,560000,5,540,41,93,1,89.5,2,0.79
0.8,3,560000,5,540,41,93,1,83.5,2,0.81
0.8,3,560000,5,540,41,93,1,75.5,3,0.82
0.8,3,560000,5,540,41,93,1,80.5,1,0.81
0.8,3,560000,5,540,41,93,1,82.5,2,0.8
0.8,3,560000,5,540,41,93,1,70,1,0.83
0.8,3,560000,5,540,41,93,1,87,3,0.8
0.8,3,560000,5,540,41,93,1,92,1,0.79
0.8,3,560000,5,540,41,93,1,83,3,0.8
0.8,3,560000,5,540,41,93,1,75.5,2,0.83
0.8,3,560000,5,540,41,93,1,26.5,3,0.87
0.8,3,560000,5,540,41,93,1,76,1,0.83
0.8,3,560000,5,540,41,93,1,91.5,1,0.8
0.8,3,560000,5,540,41,93,1,98,3,0.78
