OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.8,2,560000,5,540,41,93,1,61.5,2,0.84
0.8,2,560000,5,540,41,93,1,71,2,0.82
0.8,2,560000,5,540,41,93,1,66,2,0.82
0.8,2,560000,5,540,41,93,1,70,0,0.8
0.8,2,560000,5,540,41,93,1,59.5,0,0.81
0.8,2,560000,5,540,41,93,1,85.5,1,0.78
0.8,2,560000,5,540,41,93,1,32,1,0.86
0.8,2,560000,5,540,41,93,1,98,3,0.76
0.8,2,560000,5,540,41,93,1,90,2,0.78
0.8,2,560000,5,540,41,93,1,51.5,1,0.82
0.8,2,560000,5,540,41,93,1,24.5,1,0.88
0.8,2,560000,5,540,41,93,1,65.5,1,0.8
0.8,2,560000,5,540,41,93,1,95.5,3,0.76
0.8,2,560000,5,540,41,93,1,16.5,4,0.89
0.8,2,560000,5,540,41,93,1,78,0,0.81
0.8,2,560000,5,540,41,93,1,92.5,1,0.77
0.8,2,560000,5,540,41,93,1,81.5,3,0.8
0.8,2,560000,5,540,41,93,1,60.5,0,0.82
0.8,2,560000,5,540,41,93,1,58.5,2,0.82
0.8,2,560000,5,540,41,93,1,87,3,0.78
0.8,2,560000,5,540,41,93,1,97,1,0.75
0.8,2,560000,5,540,41,93,1,93,6,0.77
0.8,2,560000,5,540,41,93,1,74.5,2,0.8
0.8,2,560000,5,540,41,93,1,100,2,0.73
0.8,2,560000,5,540,41,93,1,88,2,0.79
0.8,2,560000,5,540,41,93,1,92.5,2,0.76
0.8,2,560000,5,540,41,93,1,92,8,0.76
0.8,2,560000,5,540,41,93,1,83.5,2,0.77
0.8,2,560000,5,540,41,93,1,83,1,0.8
0.8,2,560000,5,540,41,93,1,25.5,0,0.87
0.8,2,560000,5,540,41,93,1,68.5,1,0.81
0.8,2,560000,5,540,41,93,1,85,4,0.79
0.8,2,560000,5,540,41,93,1,63.5,0,0.82
0.8,2,560000,5,540,41,93,1,27,2,0.86
0.8,2,560000,5,540,41,93,1,80,0,0.81
0.8,2,560000,5,540,41,93,1,90.5,4,0.78
0.8,2,560000,5,540,41,93,1,98.5,2,0.75
0.8,2,560000,5,540,41,93,1,100,2,0.69
0.8,2,560000,5,540,41,93,1,99.5,2,0.75
0.8,2,560000,5,540,41,93,1,97,1,0.75
0.8,2,560000,5,540,41,93,1,37,2,0.84
0.8,2,560000,5,540,41,93,1,94,1,0.77
0.8,2,560000,5,540,41,93,1,74.5,1,0.8
0.8,2,560000,5,540,41,93,1,33,2,0.86
0.8,2,560000,5,540,41,93,1,54,1,0.84
0.8,2,560000,5,540,41,93,1,98,3,0.75
0.8,2,560000,5,540,41,93,1,71.5,2,0.8
0.8,2,560000,5,540,41,93,1,69.5,2,0.82
