OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.8,2,560000,5,540,41,93,1,92,3,0.77
0.8,2,560000,5,540,41,93,1,35,2,0.82
0.8,2,560000,5,540,41,93,1,81,1,0.8
0.8,2,560000,5,540,41,93,1,90.5,3,0.75
0.8,2,560000,5,540,41,93,1,84.5,2,0.8
0.8,2,560000,5,540,41,93,1,83.5,2,0.8
0.8,2,560000,5,540,41,93,1,99,2,0.72
0.8,2,560000,5,540,41,93,1,98,3,0.72
0.8,2,560000,5,540,41,93,1,88,2,0.79
0.8,2,560000,5,540,41,93,1,51.5,1,0.82
0.8,2,560000,5,540,41,93,1,93,6,0.76
0.8,2,560000,5,540,41,93,1,75.5,2,0.79
0.8,2,560000,5,540,41,93,1,90,2,0.78
0.8,2,560000,5,540,41,93,1,99,3,0.72
0.8,2,560000,5,540,41,93,1,84,1,0.79
0.8,2,560000,5,540,41,93,1,87.5,3,0.78
0.8,2,560000,5,540,41,93,1,74.5,2,0.8
0.8,2,560000,5,540,41,93,1,88.5,3,0.77
0.8,2,560000,5,540,41,93,1,47.5,1,0.84
0.8,2,560000,5,540,41,93,1,83.5,2,0.79
0.8,2,560000,5,540,41,93,1,91,3,0.77
0.8,2,560000,5,540,41,93,1,95.5,2,0.75
0.8,2,560000,5,540,41,93,1,99,3,0.74
0.8,2,560000,5,540,41,93,1,85,1,0.78
0.8,2,560000,5,540,41,93,1,90.5,3,0.77
0.8,2,560000,5,540,41,93,1,47.5,0,0.83
0.8,2,560000,5,540,41,93,1,97,0,0.75
0.8,2,560000,5,540,41,93,1,60.5,3,0.82
0.8,2,560000,5,540,41,93,1,97,1,0.76
0.8,2,560000,5,540,41,93,1,87.5,2,0.79
0.8,2,560000,5,540,41,93,1,31.5,1,0.85
0.8,2,560000,5,540,41,93,1,40.5,1,0.85
0.8,2,560000,5,540,41,93,1,5,0,0.93
0.8,2,560000,5,540,41,93,1,69.5,0,0.81
0.8,2,560000,5,540,41,93,1,44.5,2,0.85
0.8,2,560000,5,540,41,93,1,85,2,0.8
0.8,2,560000,5,540,41,93,1,34,3,0.85
0.8,2,560000,5,540,41,93,1,85.5,1,0.8
0.8,2,560000,5,540,41,93,1,90.5,2,0.78
0.8,2,560000,5,540,41,93,1,96.5,1,0.75
0.8,2,560000,5,540,41,93,1,91.5,2,0.79
0.8,2,560000,5,540,41,93,1,97.5,1,0.74
0.8,2,560000,5,540,41,93,1,57.5,1,0.83
0.8,2,560000,5,540,41,93,1,70.5,1,0.82
0.8,2,560000,5,540,41,93,1,38.5,1,0.83
0.8,2,560000,5,540,41,93,1,99,4,0.75
0.8,2,560000,5,540,41,93,1,95.5,0,0.75
0.8,2,560000,5,540,41,93,1,39,1,0.86
0.8,2,560000,5,540,41,93,1,93,6,0.76
0.8,2,560000,5,540,41,93,1,75.5,2,0.79
0.8,2,560000,5,540,41,93,1,97.5,2,0.76
0.8,2,560000,5,540,41,93,1,30.5,1,0.86
