OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.8,1,560000,5,540,41,93,1,31.5,2,0.83
0.8,1,560000,5,540,41,93,1,15,2,0.89
0.8,1,560000,5,540,41,93,1,62.5,5,0.8
0.8,1,560000,5,540,41,93,1,25.5,3,0.86
0.8,1,560000,5,540,41,93,1,25,2,0.85
0.8,1,560000,5,540,41,93,1,41.5,2,0.81
0.8,1,560000,5,540,41,93,1,62,0,0.81
0.8,1,560000,5,540,41,93,1,17,1,0.88
0.8,1,560000,5,540,41,93,1,70,2,0.8
0.8,1,560000,5,540,41,93,1,77.5,0,0.8
0.8,1,560000,5,540,41,93,1,57,0,0.81
0.8,1,560000,5,540,41,93,1,60,3,0.8
0.8,1,560000,5,540,41,93,1,15,1,0.89
0.8,1,560000,5,540,41,93,1,88.5,1,0.76
0.8,1,560000,5,540,41,93,1,91.5,1,0.76
0.8,1,560000,5,540,41,93,1,95.5,0,0.74
0.8,1,560000,5,540,41,93,1,68.5,0,0.8
0.8,1,560000,5,540,41,93,1,82,0,0.78
0.8,1,560000,5,540,41,93,1,98,3,0.72
0.8,1,560000,5,540,41,93,1,73.5,0,0.79
0.8,1,560000,5,540,41,93,1,32.5,1,0.85
0.8,1,560000,5,540,41,93,1,78,1,0.77
0.8,1,560000,5,540,41,93,1,60.5,0,0.79
0.8,1,560000,5,540,41,93,1,96,1,0.72
0.8,1,560000,5,540,41,93,1,53.5,1,0.82
0.8,1,560000,5,540,41,93,1,90,0,0.75
0.8,1,560000,5,540,41,93,1,18,0,0.86
0.8,1,560000,5,540,41,93,1,87.5,0,0.78
0.8,1,560000,5,540,41,93,1,93,2,0.74
0.8,1,560000,5,540,41,93,1,78.5,1,0.78
0.8,1,560000,5,540,41,93,1,19,1,0.87
0.8,1,560000,5,540,41,93,1,79.5,2,0.77
0.8,1,560000,5,540,41,93,1,19,0,0.87
0.8,1,560000,5,540,41,93,1,71.5,1,0.79
0.8,1,560000,5,540,41,93,1,19.5,3,0.87
0.8,1,560000,5,540,41,93,1,99.5,0,0.69
0.8,1,560000,5,540,41,93,1,78,0,0.78
0.8,1,560000,5,540,41,93,1,98.5,1,0.72
0.8,1,560000,5,540,41,93,1,90.5,1,0.75
0.8,1,560000,5,540,41,93,1,91.5,0,0.75
0.8,1,560000,5,540,41,93,1,82.5,0,0.8
0.8,1,560000,5,540,41,93,1,96.5,3,0.73
0.8,1,560000,5,540,41,93,1,67,0,0.81
0.8,1,560000,5,540,41,93,1,48,3,0.84
0.8,1,560000,5,540,41,93,1,14.5,0,0.88
0.8,1,560000,5,540,41,93,1,51.5,4,0.81
0.8,1,560000,5,540,41,93,1,49.5,1,0.83
