OR,matching_ratio,n_cases,nDemo,nDrug,nHosp,nOth,nProt,select_percent,nFalse_signals,OR_obs
0.8,1,560000,5,540,41,93,1,48.5,1,0.84
0.8,1,560000,5,540,41,93,1,30.5,1,0.88
0.8,1,560000,5,540,41,93,1,78.5,0,0.8
0.8,1,560000,5,540,41,93,1,10.5,1,0.91
0.8,1,560000,5,540,41,93,1,54.5,4,0.83
0.8,1,560000,5,540,41,93,1,48.5,3,0.84
0.8,1,560000,5,540,41,93,1,95.5,1,0.75
0.8,1,560000,5,540,41,93,1,63.5,1,0.82
0.8,1,560000,5,540,41,93,1,61.5,8,0.82
0.8,1,560000,5,540,41,93,1,75.5,0,0.79
0.8,1,560000,5,540,41,93,1,43,1,0.84
0.8,1,560000,5,540,41,93,1,54.5,2,0.83
0.8,1,560000,5,540,41,93,1,61.5,0,0.82
0.8,1,560000,5,540,41,93,1,89.5,0,0.76
0.8,1,560000,5,540,41,93,1,26,2,0.87
0.8,1,560000,5,540,41,93,1,90.5,8,0.76
0.8,1,560000,5,540,41,93,1,57,3,0.83
0.8,1,560000,5,540,41,93,1,52.5,2,0.83
0.8,1,560000,5,540,41,93,1,60,2,0.82
0.8,1,560000,5,540,41,93,1,27,4,0.87
0.8,1,560000,5,540,41,93,1,97.5,1,0.74
0.8,1,560000,5,540,41,93,1,91,2,0.77
0.8,1,560000,5,540,41,93,1,64,8,0.82
0.8,1,560000,5,540,41,93,1,63.5,4,0.81
0.8,1,560000,5,540,41,93,1,91.5,4,0.78
0.8,1,560000,5,540,41,93,1,89.5,1,0.76
0.8,1,560000,5,540,41,93,1,15.5,3,0.89
0.8,1,560000,5,540,41,93,1,63.5,4,0.81
0.8,1,560000,5,540,41,93,1,25.5,3,0.85
0.8,1,560000,5,540,41,93,1,43,1,0.83
0.8,1,560000,5,540,41,93,1,31.5,2,0.82
0.8,1,560000,5,540,41,93,1,17,1,0.88
0.8,1,560000,5,540,41,93,1,69.5,2,0.79
0.8,1,560000,5,540,41,93,1,94,1,0.74
0.8,1,560000,5,540,41,93,1,89.5,2,0.76
0.8,1,560000,5,540,41,93,1,85.5,0,0.78
0.8,1,560000,5,540,41,93,1,0.5,1,0.95
0.8,1,560000,5,540,41,93,1,16,0,0.89
0.8,1,560000,5,540,41,93,1,7.5,1,0.92
0.8,1,560000,5,540,41,93,1,98,0,0.71
0.8,1,560000,5,540,41,93,1,49.5,0,0.81
0.8,1,560000,5,540,41,93,1,61,0,0.8
0.8,1,560000,5,540,41,93,1,99.5,0,0.72
0.8,1,560000,5,540,41,93,1,75.5,0,0.8
0.8,1,560000,5,540,41,93,1,57,0,0.82
0.8,1,560000,5,540,41,93,1,58.5,3,0.8
0.8,1,560000,5,540,41,93,1,27.5,3,0.85
0.8,1,560000,5,540,41,93,1,18,1,0.87
0.8,1,560000,5,540,41,93,1,78.5,0,0.76
0.8,1,560000,5,540,41,93,1,83,2,0.77
0.8,1,560000,5,540,41,93,1,100,1,0.68
0.8,1,560000,5,540,41,93,1,19,0,0.87
0.8,1,560000,5,540,41,93,1,35.5,1,0.85
