ATC5,l_atc5,prev
S01AX,AUTRES ANTIINFECTIEUX,0.00677248432383832
S01AX07,SODIUM BORATE,0.0504785213769075
S01BA01,DEXAMETHASONE,0.0159038956994582
S01BA07,FLUOROMETHOLONE,0.00376101179371566
S01BC01,INDOMETACINE,0.0191572730937021
S01BC04,FLURBIPROFENE,0.00872400262567198
S01BC05,KETOROLAC,0.00154680082667804
S01BC11,BROMFENAC SODIUM SESQUIHYDRATE,0.00139224819899825
S01CA01,DEXAMETHASONE ET ANTIINFECTIEUX,0.052982238873888
S01EA03,APRACLONIDINE,0.00758785115014822
S01EA05,BRIMONIDINE,0.0023049951812405
S01EB01,PILOCARPINE,0.00128614982340364
S01EC01,ACETAZOLAMIDE,0.00331108029676858
S01EC03,DORZOLAMIDE,0.00141777142453053
S01EC04,BRINZOLAMIDE,0.00639840627430324
S01EC54,BRINZOLAMIDE EN ASSOCIATION,0.00193379386426821
S01ED01,TIMOLOL,0.00610575887096569
S01ED05,CARTEOLOL,0.00371255319344992
S01ED51,TIMOLOL EN ASSOCIATION,0.0228818426933997
S01EE01,LATANOPROST,0.0255414637690358
S01EE03,BIMATOPROST,0.00345196406880277
S01EE04,TRAVOPROST,0.00194626204224192
S01FA01,ATROPINE,0.00147261230949147
S01FA06,TROPICAMIDE,0.020804463021978
S01FB01,PHENYLEPHRINE,0.0078388372036773
S01GX01,CROMOGLICIQUE ACIDE,0.022267827202591
S01GX02,LEVOCABASTINE,0.00982887665023842
S01GX03,SPAGLUMIQUE ACIDE,0.0111831814923404
S01GX07,AZELASTINE,0.0026666479278004
S01GX08,KETOTIFENE,0.0139146471543574
S01KA02,HYPROMELLOSE,0.0109345001203876
S01LA04,RANIBIZUMAB,0.00372995121313602
S01LA05,AFLIBERCEPT,0.0045034871956001
S01LA09,FARICIMAB,0.00148349985225959
S01XA02,RETINOL,0.0121721145781139
S01XA20,LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS,0.0444781493666159
S02AA16,OFLOXACINE,0.0131325323777959
S02CA05,FLUOCINOLONE ET ANTIINFECTIEUX,0.00739050587813038
S02CA06,DEXAMETHASONE ET ANTIINFECTIEUX,0.0195519894557462
S02CA07,FLUDROCORTISONE ET ANTIINFECTIEUX,0.00893851685920151
S02DA30,ASSOCIATIONS (ANALGESIQUES ET ANESTHESIQUES),0.00626101763864529
V01AA02,POLLEN D'HERBE,0.00108717448481782
V01AA03,POUSSIERES DE MAISON ET ACARIENS,0.00106755108746737
V03AE01,SULFONATE DE POLYSTYRENE,0.00517920180611437
V03AF03,CALCIUM FOLINATE,0.00150911681143448
V04CX,AUTRES MEDICAMENTS POUR DIAGNOSTIC,0.00651012896416378
V08AB02,IOHEXOL,0.00290786846350788
V08AB04,IOPAMIDOL,0.00638885726017363
V08AB05,IOPROMIDE,0.0042091673400034
V08AB07,IOVERSOL,0.00408375051392831
V08AB09,IODIXANOL,0.0048354926289507
V08AB10,IOMEPROL,0.00674948293877747
V08AB11,IOBITRIDOL,0.0044990487678325
V08CA02,GADOTERIQUE ACIDE,0.00955226396472466
V08CA04,GADOTERIDOL,0.00117308106402083
V08CA09,GADOBUTROL,0.00217102095392473
