ATC5,l_atc5,prev
C01DX16,NICORANDIL,0.00145282301449238
C01EB17,IVABRADINE,0.00154232174018882
C02AC06,RILMENIDINE,0.00655002019591164
C02CA04,DOXAZOSINE,0.00143838652698847
C02CA06,URAPIDIL,0.00642984805224484
C03AA03,HYDROCHLOROTHIAZIDE,0.0158784081995711
C03BA11,INDAPAMIDE,0.00702429605896221
C03CA01,FUROSEMIDE,0.0465310997319037
C03DA01,SPIRONOLACTONE,0.0170067530664671
C03DA04,EPLERENONE,0.00346609061316874
C03EA04,ALTIZIDE ET EPARGNEURS POTASSIQUES,0.00423141800846025
C07AA05,PROPRANOLOL,0.0145858851522546
C07AA07,SOTALOL,0.00609961792716773
C07AB02,METOPROLOL,0.00315780779923771
C07AB03,ATENOLOL,0.0128721600569425
C07AB04,ACEBUTOLOL,0.00518616715901127
C07AB05,BETAXOLOL,0.00119149008297671
C07AB07,BISOPROLOL,0.0716993697292848
C07AB08,CELIPROLOL,0.00269234401437817
C07AB12,NEBIVOLOL,0.0224800710330731
C07BB07,BISOPROLOL ET THIAZIDIQUES,0.00607054827742257
C07BB12,NEBIVOLOL ET THIAZIDIQUES,0.00421347370749839
C07FB02,METOPROLOL ET AUTRES ANTIHYPERTENSEURS,0.00154943807171868
C08CA01,AMLODIPINE,0.0396416262586302
C08CA04,NICARDIPINE,0.0144472408964352
C08CA11,MANIDIPINE,0.00193056400435087
C08CA13,LERCANIDIPINE,0.0372257489553065
C08DA01,VERAPAMIL,0.00671024256184186
C08DB01,DILTIAZEM,0.00364597608381549
C08GA02,AMLODIPINE ET DIURETIQUES,0.00131069769742954
C09AA02,ENALAPRIL,0.00416877339455044
C09AA03,LISINOPRIL,0.0015049961080359
C09AA04,PERINDOPRIL,0.0289663951475758
C09AA05,RAMIPRIL,0.0376838494383446
C09BA02,ENALAPRIL ET DIURETIQUES,0.00195879970731078
C09BA03,LISINOPRIL ET DIURETIQUES,0.00100574304571363
C09BA04,PERINDOPRIL ET DIURETIQUES,0.0132311065945679
C09BA05,RAMIPRIL ET DIURETIQUES,0.00404464634775512
C09BB02,ENALAPRIL ET LERCANIDIPINE,0.00602542630697687
C09BB04,PERINDOPRIL ET AMLODIPINE,0.0176104706673327
C09BB10,TRANDOLAPRIL ET VERAPAMIL,0.00148660378163324
C09BX02,PERINDOPRIL ET BISOPROLOL,0.00261576200720385
C09CA01,LOSARTAN,0.00447475540331942
C09CA03,VALSARTAN,0.00993588630769397
C09CA04,IRBESARTAN,0.0363166744917005
C09CA06,CANDESARTAN,0.0244829019377545
C09CA07,TELMISARTAN,0.00717937392941046
C09DA01,LOSARTAN ET DIURETIQUES,0.0040152035250548
C09DA03,VALSARTAN ET DIURETIQUES,0.0067187937682891
C09DA04,IRBESARTAN ET DIURETIQUES,0.0247954252001766
C09DA06,CANDESARTAN ET DIURETIQUES,0.0100205996360239
C09DA07,TELMISARTAN ET DIURETIQUES,0.00527332300733754
C09DB01,VALSARTAN ET AMLODIPINE,0.0114544413804911
C09DB04,TELMISARTAN ET AMLODIPINE,0.00282656753055273
C09DB05,IRBESARTAN + AMLODIPINE,0.00111789755916093
C09DX04,VALSARTAN + SACUBITRIL,0.00593190689791212
C10AA01,SIMVASTATINE,0.0228987058236837
C10AA03,PRAVASTATINE,0.0190287521443912
C10AA04,FLUVASTATINE,0.00244258935695384
C10AA05,ATORVASTATINE,0.0944401345933781
C10AA07,ROSUVASTATINE,0.0393551583324001
C10AB05,FENOFIBRATE,0.0123348917817926
C10AC01,COLESTYRAMINE,0.0011562961361483
C10AX09,EZETIMIBE,0.0150729241974457
C10BA02,SIMVASTATINE ET EZETIMIBE,0.00911696289684416
C10BA05,ATORVASTATINE ET EZETIMIBE,0.0299602796296544
C10BA06,ROSUVASTATINE + EZETIMIBE,0.0101825746386319
D01AC03,ECONAZOLE,0.0495551349602302
D01AC05,ISOCONAZOLE,0.00207098448328068
D01AC08,KETOCONAZOLE,0.0237070082225996
D01AC10,BIFONAZOLE,0.00454639784168588
D01AC11,OXICONAZOLE,0.00344401253080912
D01AC12,FENTICONAZOLE,0.00513979851154356
D01AC14,SERTACONAZOLE,0.0113869419169533
D01AC60,BIFONAZOLE EN ASSOCIATION,0.00476249110188419
D01AE14,CICLOPIROX,0.0379647462054053
D01AE15,TERBINAFINE,0.00698836742665916
D01AE16,AMOROLFINE,0.0103599144238015
D01BA02,TERBINAFINE,0.0057818398569268
D02AC,PARAFFINE ET PRODUITS GRAS,0.0528726730449075
D05AX52,CALCIPOTRIOL EN ASSOCIATION,0.0095726121332716
D06AX01,FUSIDIQUE ACIDE,0.0309401708718828
D06AX09,MUPIROCINE,0.0214301549394516
D06BA01,SULFADIAZINE ARGENTIQUE,0.0047731894185198
D06BB10,IMIQUIMOD,0.00301580526164927
D06BX01,METRONIDAZOLE,0.00758917993985177
D07AB02,HYDROCORTISONE BUTYRATE,0.0226617562142441
D07AB08,DESONIDE,0.0148731145206269
D07AC01,BETAMETHASONE,0.0717598808483017
D07AC06,DIFLUCORTOLONE,0.0142048771921552
D07AC16,HYDROCORTISONE ACEPONATE,0.0019262409933455
D07AD01,CLOBETASOL,0.0258031041197362
D07XC01,BETAMETHASONE,0.00725290445275157
D08AC02,CHLORHEXIDINE,0.0200463231150014
D08AC52,CHLORHEXIDINE EN ASSOCIATION,0.0785042004842451
D08AG02,POVIDONE IODEE,0.0730794248630661
D08AX07,SODIUM HYPOCHLORITE,0.0117698302086351
D10AD03,ADAPALENE,0.00203463034802594
D10AE01,BENZOYLE PEROXYDE,0.00336392261431763
D10AF02,ERYTHROMYCINE,0.00481161200172972
D10AX,AUTRES PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE,0.0011668898494082
D10BX,AUTRES PREPARATIONS ANTIACNEIQUES A USAGE SYSTEMIQUE,0.00581203130527671
D11AH01,TACROLIMUS,0.00110738562539242
G01AA51,NYSTATINE EN ASSOCIATION,0.0050882417409084
G01AF01,METRONIDAZOLE,0.00224413215362746
G01AF05,ECONAZOLE,0.0121366644056647
G01AF12,FENTICONAZOLE,0.00497361050061267
G01AF19,SERTACONAZOLE,0.0112895480572819
G02BA03,DIU EN PLASTIQUE AVEC DES PROGESTATIFS,0.00519321145820586
G03AA07,LEVONORGESTREL ET ESTROGENE,0.0224716921849515
G03AB03,LEVONORGESTREL ET ESTROGENE,0.00353770256364869
G03AC08,ETONOGESTREL,0.00276527514307054
G03AC09,DESOGESTREL,0.0281996358343324
G03AD01,LEVONORGESTREL,0.00568453321762704
G03AD02,ULIPRISTAL,0.00273505596838905
G03CA03,ESTRADIOL,0.00919372958679931
G03CA04,ESTRIOL,0.0118469615133845
G03CA09,PROMESTRIENE,0.0109712261490686
G03DA04,PROGESTERONE,0.00965399980727996
G03DB01,DYDROGESTERONE,0.00330267630781325
G03DB08,DIENOGEST,0.00225903434643568
G03FA04,PROGESTERONE ET ESTROGENE,0.00575717705542366
G03GA02,GONADOTROPHINE MENOPAUSIQUE HUMAINE,0.00108789811364744
G03GA05,FOLLITROPINE ALFA,0.00233837818557883
G03GA08,CHORIOGONADOTROPINE ALFA,0.00178240385275879
G03XC01,RALOXIFENE,0.00128991887862299
G04BD04,OXYBUTYNINE,0.00201513110972014
G04BD08,SOLIFENACINE,0.00921796261361546
G04BD09,TROSPIUM,0.00277610506458763
G04BD11,FESOTERODINE,0.00707085273449569
