ATC5;l_atc5;age;sexe;nbc;REM;BSE;BOITES
A01AA01;SODIUM FLUORURE;0;1;2185;1.270,27;4.025,77;3107
A01AA01;SODIUM FLUORURE;0;2;2069;1.160,31;3.774,20;2908
A01AA01;SODIUM FLUORURE;20;1;394;631,78;1.848,38;1432
A01AA01;SODIUM FLUORURE;20;2;998;1.614,52;4.813,12;3726
A01AA01;SODIUM FLUORURE;60;1;462;1.400,30;3.879,68;3006
A01AA01;SODIUM FLUORURE;60;2;921;2.620,06;7.638,74;5920
A01AA01;SODIUM FLUORURE;99;9;13;38,54;51,38;14
A01AA02;SODIUM MONOFLUOROPHOSPHATE;0;1;406;1.893,70;4.968,15;467
A01AA02;SODIUM MONOFLUOROPHOSPHATE;0;2;481;1.839,08;5.490,10;513
A01AA02;SODIUM MONOFLUOROPHOSPHATE;20;1;4742;94.664,55;128.707,93;12024
A01AA02;SODIUM MONOFLUOROPHOSPHATE;20;2;4393;48.622,58;81.084,76;7593
A01AA02;SODIUM MONOFLUOROPHOSPHATE;60;1;10475;301.352,82;387.327,95;36308
A01AA02;SODIUM MONOFLUOROPHOSPHATE;60;2;4733;92.243,24;128.792,33;12087
A01AA51;SODIUM FLUORURE EN ASSOCIATION;0;1;37913;49.954,14;164.443,46;61512
A01AA51;SODIUM FLUORURE EN ASSOCIATION;0;2;36062;47.139,99;155.710,06;58225
A01AA51;SODIUM FLUORURE EN ASSOCIATION;20;1;859;1.132,98;3.086,64;1157
A01AA51;SODIUM FLUORURE EN ASSOCIATION;20;2;3632;5.458,55;14.128,76;5279
A01AA51;SODIUM FLUORURE EN ASSOCIATION;60;1;563;1.824,71;3.909,52;1459
A01AA51;SODIUM FLUORURE EN ASSOCIATION;60;2;2324;6.271,95;14.856,44;5558
A01AB03;CHLORHEXIDINE;0;1;273395;153.179,08;936.699,55;383642
A01AB03;CHLORHEXIDINE;0;2;300758;168.186,95;1.045.181,59;427766
A01AB03;CHLORHEXIDINE;20;1;1328047;935.956,22;5.246.384,60;2155899
A01AB03;CHLORHEXIDINE;20;2;1601774;1.112.870,35;6.287.520,02;2577783
A01AB03;CHLORHEXIDINE;60;1;780679;861.918,81;3.624.260,95;1491861
A01AB03;CHLORHEXIDINE;60;2;1000377;944.066,69;4.489.401,98;1846888
A01AB03;CHLORHEXIDINE;99;1;315;660,54;1.717,38;707
A01AB03;CHLORHEXIDINE;99;2;442;646,62;2.142,42;883
A01AB03;CHLORHEXIDINE;99;9;30;15,03;100,20;39
A01AB09;MICONAZOLE;0;1;466;4.928,84;7.522,51;596
A01AB09;MICONAZOLE;0;2;505;6.625,68;10.068,31;665
A01AB09;MICONAZOLE;20;1;2113;115.316,23;151.298,39;2789
A01AB09;MICONAZOLE;20;2;4264;217.811,42;287.642,38;5594
A01AB09;MICONAZOLE;60;1;3209;226.065,20;259.277,32;4616
A01AB09;MICONAZOLE;60;2;5075;302.438,08;368.673,03;6986
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);0;1;126410;106.633,13;667.325,74;415532
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);0;2;143434;123.014,21;778.291,12;483729
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);20;1;707236;765.728,15;4.294.616,27;2683701
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);20;2;842984;882.339,52;5.011.106,60;3120058
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);60;1;445300;747.065,48;3.057.619,96;1913329
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);60;2;561224;796.759,37;3.685.361,45;2305805
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);99;1;172;347,92;1.115,48;706
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);99;2;204;283,14;1.368,28;866
A01AB11;DIVERS STOMATO LOCAL (ANTIINFECTIEUX OU ANTISEPTIQUES);99;9;28;56,88;164,32;104
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);0;1;200;372,88;1.121,15;307
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);0;2;237;589,66;1.417,56;387
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);20;1;6833;52.746,89;76.082,29;20892
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);20;2;14627;76.385,44;126.930,99;34814
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);60;1;20921;189.463,60;286.117,91;78581
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);60;2;43455;268.665,77;523.322,92;143695
A01AD11;DIVERS STOMATO LOCAL (SAUF ANTIINFECTIEUX OU ANTISEPTIQUES);99;2;11;81,99;115,84;32
A02AB01;ALUMINIUM HYDROXYDE;0;1;438;422,09;2.456,73;729
A02AB01;ALUMINIUM HYDROXYDE;0;2;810;782,98;4.722,26;1401
A02AB01;ALUMINIUM HYDROXYDE;20;1;6988;18.122,60;74.149,07;21977
A02AB01;ALUMINIUM HYDROXYDE;20;2;11813;28.894,99;121.438,02;35961
A02AB01;ALUMINIUM HYDROXYDE;60;1;7187;41.492,53;121.865,97;36144
A02AB01;ALUMINIUM HYDROXYDE;60;2;13028;57.972,73;200.962,54;59553
A02AB01;ALUMINIUM HYDROXYDE;99;2;13;139,18;202,20;60
A02AB03;ALUMINIUM PHOSPHATE;0;1;364;343,31;1.745,91;564
A02AB03;ALUMINIUM PHOSPHATE;0;2;560;453,74;2.557,34;826
A02AB03;ALUMINIUM PHOSPHATE;20;1;2996;6.265,17;23.974,77;7746
A02AB03;ALUMINIUM PHOSPHATE;20;2;5653;11.589,50;42.996,75;13882
A02AB03;ALUMINIUM PHOSPHATE;60;1;4639;17.971,62;50.522,05;16331
A02AB03;ALUMINIUM PHOSPHATE;60;2;7112;22.040,37;69.572,66;22466
A02AB03;ALUMINIUM PHOSPHATE;99;9;11;110,62;194,67;63
A02AD01;ASSOCIATIONS DE SELS;0;1;3704;2.479,55;14.622,13;5499
A02AD01;ASSOCIATIONS DE SELS;0;2;7043;5.039,30;28.219,24;10755
A02AD01;ASSOCIATIONS DE SELS;20;1;57979;98.986,36;433.090,05;160064
A02AD01;ASSOCIATIONS DE SELS;20;2;100511;166.288,05;707.205,33;259706
A02AD01;ASSOCIATIONS DE SELS;60;1;67313;211.606,40;697.813,17;270287
A02AD01;ASSOCIATIONS DE SELS;60;2;116599;306.767,53;1.141.221,49;429633
A02AD01;ASSOCIATIONS DE SELS;99;1;64;335,42;721,15;287
A02AD01;ASSOCIATIONS DE SELS;99;2;76;322,04;830,03;323
A02AH;ANTIACIDES + BICARBONATE DE SODIUM;0;1;166;17.223,84;18.015,27;651
A02AH;ANTIACIDES + BICARBONATE DE SODIUM;0;2;140;14.913,61;16.029,54;580
A02AH;ANTIACIDES + BICARBONATE DE SODIUM;20;1;5774;635.614,96;660.184,73;24003
A02AH;ANTIACIDES + BICARBONATE DE SODIUM;20;2;4133;408.357,04;424.313,42;15405
A02AH;ANTIACIDES + BICARBONATE DE SODIUM;60;1;18374;1.815.439,27;1.863.066,20;67822
A02AH;ANTIACIDES + BICARBONATE DE SODIUM;60;2;9535;863.283,21;890.599,68;32402
A02AH;ANTIACIDES + BICARBONATE DE SODIUM;99;9;12;665,58;684,75;25
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS;0;1;3571;3.800,79;22.467,51;4950
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS;0;2;7019;7.871,25;46.919,83;10252
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS;20;1;55563;121.129,38;530.485,25;115989
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS;20;2;104648;215.014,04;994.930,61;216453
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS;60;1;52814;216.272,21;726.255,49;158595
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS;60;2;93965;335.081,53;1.281.897,72;278985
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS;99;1;48;381,53;668,61;147
A02AX;ANTIACIDES : AUTRES ASSOCIATIONS;99;2;63;328,05;772,44;164
A02BA01;CIMETIDINE;0;1;395;2.594,03;5.986,85;836
A02BA01;CIMETIDINE;0;2;378;2.467,46;5.984,55;837
A02BA01;CIMETIDINE;20;1;2508;18.678,46;44.390,47;6200
A02BA01;CIMETIDINE;20;2;4819;32.659,94;77.598,89;10845
A02BA01;CIMETIDINE;60;1;3306;38.334,56;76.401,19;10679
A02BA01;CIMETIDINE;60;2;4733;40.820,51;91.955,24;12854
A02BA01;CIMETIDINE;99;1;11;148,01;293,15;41
A02BA01;CIMETIDINE;99;2;11;84,37;214,50;30
A02BA03;FAMOTIDINE;0;1;349;11.540,09;19.238,06;2454
A02BA03;FAMOTIDINE;0;2;619;14.774,64;30.811,40;3931
A02BA03;FAMOTIDINE;20;1;4672;91.730,73;247.145,80;31530
A02BA03;FAMOTIDINE;20;2;11228;327.721,63;738.226,84;94261
A02BA03;FAMOTIDINE;60;1;4569;143.428,51;290.788,43;37085
A02BA03;FAMOTIDINE;60;2;8047;186.362,73;467.601,41;59644
A02BC01;OMEPRAZOLE;0;1;76664;218.066,73;321.613,93;110655
A02BC01;OMEPRAZOLE;0;2;108828;300.032,00;444.129,28;152487
A02BC01;OMEPRAZOLE;0;9;46;123,56;184,04;47
A02BC01;OMEPRAZOLE;20;1;1294025;6.358.210,80;8.956.563,78;2900680
A02BC01;OMEPRAZOLE;20;2;1969000;9.451.868,41;13.137.438,98;4240436
A02BC01;OMEPRAZOLE;20;9;84;184,54;249,67;91
A02BC01;OMEPRAZOLE;60;1;953939;12.068.580,16;15.235.365,29;4434249
A02BC01;OMEPRAZOLE;60;2;1399190;15.997.310,62;20.950.225,17;6115923
A02BC01;OMEPRAZOLE;60;9;44;222,10;265,33;75
A02BC01;OMEPRAZOLE;99;1;965;12.098,28;14.355,46;4025
A02BC01;OMEPRAZOLE;99;2;1139;13.444,03;16.389,82;4674
A02BC01;OMEPRAZOLE;99;9;261;1.064,84;1.348,46;449
A02BC02;PANTOPRAZOLE;0;1;27299;100.184,91;138.428,30;41773
A02BC02;PANTOPRAZOLE;0;2;36735;125.545,11;183.294,36;54520
A02BC02;PANTOPRAZOLE;0;9;36;65,34;101,11;40
A02BC02;PANTOPRAZOLE;20;1;724744;7.298.045,17;9.229.452,56;2526936
A02BC02;PANTOPRAZOLE;20;2;874540;7.068.966,16;9.355.845,23;2584620
A02BC02;PANTOPRAZOLE;20;9;12;60,75;89,01;20
A02BC02;PANTOPRAZOLE;60;1;987409;22.283.372,53;26.207.716,83;6931819
A02BC02;PANTOPRAZOLE;60;2;1144287;22.730.678,64;28.018.248,52;7426354
A02BC02;PANTOPRAZOLE;60;9;42;205,89;234,93;59
A02BC02;PANTOPRAZOLE;99;1;683;12.888,73;14.083,78;3726
A02BC02;PANTOPRAZOLE;99;2;682;11.298,74;13.017,92;3445
A02BC02;PANTOPRAZOLE;99;9;139;1.190,08;1.389,66;382
A02BC03;LANSOPRAZOLE;0;1;13206;72.561,82;99.214,09;24647
A02BC03;LANSOPRAZOLE;0;2;18241;85.913,84;121.302,48;30156
A02BC03;LANSOPRAZOLE;0;9;77;212,17;304,33;93
A02BC03;LANSOPRAZOLE;20;1;271483;3.425.160,74;4.327.715,44;1042162
A02BC03;LANSOPRAZOLE;20;2;330519;3.145.526,08;4.158.771,00;1011413
A02BC03;LANSOPRAZOLE;20;9;24;81,34;122,93;38
A02BC03;LANSOPRAZOLE;60;1;436504;10.966.288,68;13.002.704,70;3076332
A02BC03;LANSOPRAZOLE;60;2;505544;11.357.159,39;14.104.040,69;3340237
A02BC03;LANSOPRAZOLE;60;9;27;86,92;105,25;32
A02BC03;LANSOPRAZOLE;99;1;336;6.532,93;7.264,92;1734
A02BC03;LANSOPRAZOLE;99;2;308;5.754,91;6.706,39;1601
A02BC03;LANSOPRAZOLE;99;9;99;731,29;889,83;231
A02BC04;RABEPRAZOLE;0;1;2329;8.121,60;12.371,43;3171
A02BC04;RABEPRAZOLE;0;2;3898;14.575,68;22.149,83;5602
A02BC04;RABEPRAZOLE;0;9;25;58,77;89,79;26
A02BC04;RABEPRAZOLE;20;1;97028;1.297.142,25;1.798.689,29;443123
A02BC04;RABEPRAZOLE;20;2;118342;1.351.554,69;1.872.113,74;461373
A02BC04;RABEPRAZOLE;20;9;66;260,94;366,46;96
A02BC04;RABEPRAZOLE;60;1;160892;4.119.132,44;5.283.166,74;1299359
A02BC04;RABEPRAZOLE;60;2;208019;4.937.398,02;6.528.993,97;1600760
A02BC04;RABEPRAZOLE;60;9;25;87,87;109,08;27
A02BC04;RABEPRAZOLE;99;1;117;1.954,35;2.258,36;559
A02BC04;RABEPRAZOLE;99;2;154;2.319,59;2.931,21;725
A02BC04;RABEPRAZOLE;99;9;73;630,64;791,84;196
A02BC05;ESOMEPRAZOLE;0;1;163831;2.791.870,54;3.990.425,00;338403
A02BC05;ESOMEPRAZOLE;0;2;187129;2.495.160,21;3.597.762,61;350058
A02BC05;ESOMEPRAZOLE;20;1;1597453;13.140.936,05;18.019.965,21;4772065
A02BC05;ESOMEPRAZOLE;20;2;2174465;17.092.855,19;23.555.938,41;6224631
A02BC05;ESOMEPRAZOLE;20;9;25;130,33;150,47;37
A02BC05;ESOMEPRAZOLE;60;1;1351611;26.652.876,66;33.216.007,38;8280180
A02BC05;ESOMEPRAZOLE;60;2;1845915;33.835.784,53;43.905.007,11;10949906
A02BC05;ESOMEPRAZOLE;99;1;1158;20.187,58;23.508,08;5874
A02BC05;ESOMEPRAZOLE;99;2;1469;23.420,33;28.208,19;7063
A02BC05;ESOMEPRAZOLE;99;9;98;542,49;672,39;188
A02BD08;BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE;0;1;1185;39.495,61;61.416,46;1213
A02BD08;BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE;0;2;1502;50.410,66;78.394,76;1541
A02BD08;BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE;20;1;37602;1.284.863,82;1.985.892,10;39043
A02BD08;BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE;20;2;47642;1.634.683,53;2.504.923,76;49107
A02BD08;BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE;60;1;17340;646.858,99;910.215,44;17835
A02BD08;BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE;60;2;20335;742.732,33;1.062.888,24;20807
A02BD08;BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE;99;1;26;1.007,08;1.413,44;28
A02BD08;BISMUTH POTASSIQUE, TETRACYCLINE ET METRONIDAZOLE;99;2;37;1.385,68;1.968,72;39
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;0;1;134637;323.205,53;661.000,54;285197
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;0;2;157318;303.656,25;723.373,34;313175
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;0;9;11;5,17;36,46;17
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;20;1;576152;1.321.898,96;5.119.910,67;2241803
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;20;2;1021933;2.278.760,94;7.849.057,96;3429673
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;20;9;15;23,43;62,70;38
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;60;1;530170;2.310.767,99;6.677.059,33;2961052
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;60;2;867841;3.205.456,98;10.362.997,09;4575078
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;99;1;616;2.873,17;6.427,37;3165
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;99;2;846;3.616,72;8.650,93;4275
A02BX13;ALGINIQUE ACIDE EN ASSOCIATION AVEC ANTIACIDES;99;9;28;78,06;214,65;90
A03AA04;MEBEVERINE;0;1;1494;1.061,95;6.117,88;2576
A03AA04;MEBEVERINE;0;2;2462;1.757,63;10.795,32;4464
A03AA04;MEBEVERINE;20;1;11947;21.009,94;86.310,56;33550
A03AA04;MEBEVERINE;20;2;22954;39.291,36;168.809,98;66012
A03AA04;MEBEVERINE;20;9;13;12,32;82,15;31
A03AA04;MEBEVERINE;60;1;11578;42.153,24;142.136,02;55500
A03AA04;MEBEVERINE;60;2;24067;79.698,89;299.350,06;118378
A03AA04;MEBEVERINE;99;2;13;32,60;172,25;65
A03AA04;MEBEVERINE;99;9;11;9,41;47,70;18
A03AA05;TRIMEBUTINE;0;1;51957;51.528,33;289.988,99;73722
A03AA05;TRIMEBUTINE;0;2;73748;86.357,85;466.274,22;117446
A03AA05;TRIMEBUTINE;20;1;299917;890.960,03;3.253.320,46;754569
A03AA05;TRIMEBUTINE;20;2;547161;1.675.539,40;6.288.508,59;1461922
A03AA05;TRIMEBUTINE;60;1;221503;1.643.738,09;4.587.479,73;1068512
A03AA05;TRIMEBUTINE;60;2;436875;3.189.733,43;10.171.444,68;2379371
A03AA05;TRIMEBUTINE;60;9;11;94,09;170,64;36
A03AA05;TRIMEBUTINE;99;1;165;1.567,38;2.936,91;667
A03AA05;TRIMEBUTINE;99;2;271;1.881,32;4.956,02;1119
A03AA05;TRIMEBUTINE;99;9;49;275,74;570,06;140
A03AX04;PINAVERIUM;0;1;2842;3.026,00;18.628,96;4497
A03AX04;PINAVERIUM;0;2;5722;6.680,55;40.382,27;9766
A03AX04;PINAVERIUM;20;1;35161;90.118,66;385.342,57;91988
A03AX04;PINAVERIUM;20;2;67142;178.740,37;778.859,53;186005
A03AX04;PINAVERIUM;60;1;28239;187.034,59;617.082,74;147365
A03AX04;PINAVERIUM;60;2;58905;357.963,99;1.341.956,94;320976
A03AX04;PINAVERIUM;99;1;25;195,46;377,10;90
A03AX04;PINAVERIUM;99;2;34;152,52;494,42;118
A03AX04;PINAVERIUM;99;9;11;28,49;71,23;17
A03AX12;PHLOROGLUCINOL;0;1;789839;373.250,21;2.127.408,31;1376633
A03AX12;PHLOROGLUCINOL;0;2;1111627;658.626,31;3.659.688,02;2261792
A03AX12;PHLOROGLUCINOL;20;1;1109119;1.448.770,52;5.505.567,28;3230525
A03AX12;PHLOROGLUCINOL;20;2;3188442;5.344.936,55;17.296.323,47;9821234
A03AX12;PHLOROGLUCINOL;60;1;617486;2.099.096,69;5.119.827,21;2967045
A03AX12;PHLOROGLUCINOL;60;2;1062152;3.775.832,83;10.780.175,95;6280092
A03AX12;PHLOROGLUCINOL;99;1;498;2.390,48;4.426,83;2483
A03AX12;PHLOROGLUCINOL;99;2;837;4.291,62;9.429,99;5225
A03AX12;PHLOROGLUCINOL;99;9;12;32,53;87,23;61
A03AX58;ALVERINE EN ASSOCIATION;0;1;21212;21.363,79;123.520,74;46847
A03AX58;ALVERINE EN ASSOCIATION;0;2;38517;45.329,81;267.110,91;101375
A03AX58;ALVERINE EN ASSOCIATION;20;1;241297;631.241,89;2.624.238,56;997158
A03AX58;ALVERINE EN ASSOCIATION;20;2;451359;1.239.530,79;5.315.927,24;2018555
A03AX58;ALVERINE EN ASSOCIATION;60;1;190255;1.233.193,36;3.891.455,62;1478399
A03AX58;ALVERINE EN ASSOCIATION;60;2;374608;2.323.160,21;8.354.577,81;3175656
A03AX58;ALVERINE EN ASSOCIATION;99;1;162;1.598,33;3.696,82;1411
A03AX58;ALVERINE EN ASSOCIATION;99;2;275;2.561,44;6.371,84;2432
A03BB01;BUTYLSCOPOLAMINE;0;1;11;1.542,56;1.551,25;125
A03BB01;BUTYLSCOPOLAMINE;0;2;66;663,93;1.377,51;111
A03BB01;BUTYLSCOPOLAMINE;20;1;305;13.403,09;15.481,77;1243
A03BB01;BUTYLSCOPOLAMINE;20;2;1337;20.585,55;30.956,91;2459
A03BB01;BUTYLSCOPOLAMINE;60;1;2212;79.725,78;88.796,90;7137
A03BB01;BUTYLSCOPOLAMINE;60;2;3166;89.605,50;106.352,68;8552
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS;0;1;9630;8.070,20;46.550,76;14346
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS;0;2;16231;15.384,28;89.559,63;27605
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS;20;1;109804;215.367,71;910.513,88;281838
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS;20;2;199987;392.977,88;1.743.901,13;538707
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS;60;1;92985;416.297,56;1.342.619,88;415466
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS;60;2;176921;711.251,34;2.667.401,80;825679
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS;99;1;77;345,56;812,13;253
A03ED;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS;99;2;104;334,64;1.248,69;389
A03FA01;METOCLOPRAMIDE;0;1;27507;28.359,46;74.136,84;30512
A03FA01;METOCLOPRAMIDE;0;2;41823;43.080,02;118.143,13;48593
A03FA01;METOCLOPRAMIDE;20;1;169485;394.132,75;696.901,66;264832
A03FA01;METOCLOPRAMIDE;20;2;424026;837.262,48;1.669.566,47;656610
A03FA01;METOCLOPRAMIDE;60;1;135857;606.401,34;780.878,90;303177
A03FA01;METOCLOPRAMIDE;60;2;193702;780.949,78;1.115.191,15;433571
A03FA01;METOCLOPRAMIDE;99;1;66;232,33;316,92;139
A03FA01;METOCLOPRAMIDE;99;2;77;317,15;376,20;165
A03FA01;METOCLOPRAMIDE;99;9;15;197,69;208,32;48
A03FA03;DOMPERIDONE;0;1;9803;3.090,45;16.125,55;12252
A03FA03;DOMPERIDONE;0;2;14751;4.681,32;26.164,13;19938
A03FA03;DOMPERIDONE;20;1;57350;66.787,38;182.919,10;141282
A03FA03;DOMPERIDONE;20;2;121217;119.140,24;371.179,83;286403
A03FA03;DOMPERIDONE;60;1;46902;157.311,17;292.409,26;227544
A03FA03;DOMPERIDONE;60;2;87778;259.950,58;568.091,28;442966
A03FA03;DOMPERIDONE;99;1;15;40,98;69,44;56
A03FA03;DOMPERIDONE;99;2;29;41,79;124,00;100
A03FA03;DOMPERIDONE;99;9;27;35,06;73,72;57
A03FA05;ALIZAPRIDE;0;1;11;275,14;317,55;73
A03FA05;ALIZAPRIDE;20;1;250;4.295,84;5.193,90;1194
A03FA05;ALIZAPRIDE;20;2;546;12.939,08;14.489,85;3331
A03FA05;ALIZAPRIDE;60;1;205;6.111,75;6.385,80;1468
A03FA05;ALIZAPRIDE;60;2;375;12.216,98;12.775,95;2937
A04AA01;ONDANSETRON;0;1;2485;228.545,24;256.428,52;27715
A04AA01;ONDANSETRON;0;2;2328;202.028,81;224.138,73;23924
A04AA01;ONDANSETRON;0;9;59;1.031,84;1.096,28;163
A04AA01;ONDANSETRON;20;1;18712;1.360.531,93;1.439.910,43;171066
A04AA01;ONDANSETRON;20;2;34636;2.612.921,19;2.802.151,03;334084
A04AA01;ONDANSETRON;20;9;12;512,60;512,60;55
A04AA01;ONDANSETRON;60;1;46845;3.152.582,03;3.239.926,21;386853
A04AA01;ONDANSETRON;60;2;49658;3.562.480,63;3.680.496,80;438113
A04AA01;ONDANSETRON;60;9;35;505,16;511,75;68
A04AA01;ONDANSETRON;99;9;14;71,89;71,89;15
A04AA02;GRANISETRON;20;1;730;90.950,06;92.409,31;8942
A04AA02;GRANISETRON;20;2;2661;302.436,93;309.931,75;29863
A04AA02;GRANISETRON;60;1;2197;262.092,68;266.390,82;25902
A04AA02;GRANISETRON;60;2;2865;336.423,34;343.341,48;33400
A04AA55;PALONOSETRON EN ASSOCIATION;0;1;15;2.854,59;3.044,16;48
A04AA55;PALONOSETRON EN ASSOCIATION;0;2;13;2.437,29;2.647,92;44
A04AA55;PALONOSETRON EN ASSOCIATION;20;1;2983;825.153,96;857.594,10;14058
A04AA55;PALONOSETRON EN ASSOCIATION;20;2;7488;2.146.061,94;2.231.219,58;36228
A04AA55;PALONOSETRON EN ASSOCIATION;60;1;7870;2.386.803,41;2.439.980,73;40147
A04AA55;PALONOSETRON EN ASSOCIATION;60;2;9096;2.888.398,69;2.959.546,34;48487
A04AD01;SCOPOLAMINE;0;1;74;9.753,85;10.220,14;1388
A04AD01;SCOPOLAMINE;0;2;65;10.171,43;10.853,26;1465
A04AD01;SCOPOLAMINE;20;1;263;26.588,77;28.750,62;3923
A04AD01;SCOPOLAMINE;20;2;206;19.307,29;20.126,29;2741
A04AD01;SCOPOLAMINE;60;1;3945;73.806,98;79.442,20;10872
A04AD01;SCOPOLAMINE;60;2;6476;100.530,12;111.813,54;15379
A04AD05;METOPIMAZINE;0;1;777751;637.800,81;2.085.495,32;946485
A04AD05;METOPIMAZINE;0;2;788838;662.535,45;2.162.962,33;972829
A04AD05;METOPIMAZINE;20;1;665044;762.923,15;2.127.118,51;883499
A04AD05;METOPIMAZINE;20;2;1304008;1.659.453,61;4.567.343,90;1894886
A04AD05;METOPIMAZINE;60;1;202579;507.256,54;933.030,78;386007
A04AD05;METOPIMAZINE;60;2;435922;1.065.249,00;2.180.233,74;903788
A04AD05;METOPIMAZINE;99;1;162;392,32;650,21;280
A04AD05;METOPIMAZINE;99;2;302;639,73;1.319,42;571
A04AD05;METOPIMAZINE;99;9;12;18,16;37,18;26
A04AD12;APREPITANT;0;1;189;23.740,44;25.292,45;1087
A04AD12;APREPITANT;0;2;158;14.237,30;15.365,30;746
A04AD12;APREPITANT;0;9;32;1.494,79;1.572,86;91
A04AD12;APREPITANT;20;1;16443;1.842.300,03;1.910.267,13;85591
A04AD12;APREPITANT;20;2;31732;3.654.974,18;3.778.655,06;166902
A04AD12;APREPITANT;60;1;46390;5.712.623,23;5.825.578,03;258353
A04AD12;APREPITANT;60;2;48343;6.043.850,66;6.178.148,84;272679
A04AD12;APREPITANT;99;2;19;1.837,60;1.853,04;84
A05AA02;URSODESOXYCHOLIQUE ACIDE;0;1;1635;311.036,01;337.455,10;19977
A05AA02;URSODESOXYCHOLIQUE ACIDE;0;2;1765;274.231,70;302.814,66;17586
A05AA02;URSODESOXYCHOLIQUE ACIDE;20;1;19593;3.950.290,41;4.635.405,56;180877
A05AA02;URSODESOXYCHOLIQUE ACIDE;20;2;45015;6.477.519,50;7.891.211,60;332149
A05AA02;URSODESOXYCHOLIQUE ACIDE;60;1;19699;4.965.026,16;5.687.389,64;264686
A05AA02;URSODESOXYCHOLIQUE ACIDE;60;2;37985;9.673.266,44;11.193.068,46;588458
A05AA02;URSODESOXYCHOLIQUE ACIDE;99;2;11;2.553,10;2.582,74;61
A05AA02;URSODESOXYCHOLIQUE ACIDE;99;9;11;2.077,14;2.105,48;52
A05AX04;MARALIXIBAT CHLORURE;0;1;36;4.699.454,73;4.905.899,93;198
A05AX04;MARALIXIBAT CHLORURE;0;2;29;4.140.941,75;4.312.979,42;182
